date_sold,sales_price,address,bedrooms,bathrooms,square_feet,home_type,year_built,neighborhood,lat,long,age
2021-12-30T00:00:00Z,150000,"600 13th St E APT 416, Tuscaloosa, AL 35401",2,2,875,Condominium,2006,University,33.201710001115,-87.5274884037955,15
2021-12-30T00:00:00Z,357500,"1018 Hackberry Ln UNIT 104, Tuscaloosa, AL 35401",1,1,1071,Condominium,2008,University,33.2051904594042,-87.5436594154395,13
2021-12-29T00:00:00Z,89900,"901 Hargrove Rd APT 11C, Tuscaloosa, AL 35401",2,2,739,Condominium,1950,35401,33.1927119373961,-87.5500582461245,71
2021-12-29T00:00:00Z,186000,"1901 5th Ave E UNIT 3312, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.19366633495,-87.5294737307821,14
2021-12-28T00:00:00Z,175000,"1901 5th Ave E UNIT 3112, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1936241350581,-87.5295785307821,14
2021-12-28T00:00:00Z,129900,"210 15th St E APT 61, Tuscaloosa, AL 35401",2,2,995,Condominium,1985,University,33.1991262000271,-87.5337795596176,36
2021-12-28T00:00:00Z,189000,"600 13th St E APT 522, Tuscaloosa, AL 35401",3,3,1239,Condominium,2006,University,33.2017070237651,-87.5273917884531,15
2021-12-28T00:00:00Z,184250,"600 13th St E APT 642, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.2015295826776,-87.5273313596175,15
2021-12-23T00:00:00Z,295000,"2150 3rd Ct APT 103, Tuscaloosa, AL 35401",3,3,1700,Condominium,2015,Forest Lake,33.1918828611594,-87.5403640154398,6
2021-12-22T00:00:00Z,294405,"700 15th St UNIT 2101, Tuscaloosa, AL 35401",3,3,1388,Condominium,2009,University,33.200691049324,-87.5471019172887,12
2021-12-21T00:00:00Z,374500,"820 Frank Thomas Ave UNIT 211, Tuscaloosa, AL 35401",2,2,863,Condominium,2009,University,33.207677252518,-87.5535907596174,12
2021-12-21T00:00:00Z,769900,"1150 8th St #510, Tuscaloosa, AL 35401",2,2,1183,Condominium,2020,University,33.2098069700944,-87.5523673596173,1
2021-12-20T00:00:00Z,87500,"901 Hargrove Rd APT 18B, Tuscaloosa, AL 35401",2,2,750,Condominium,1950,35401,33.1927298939025,-87.5500475172889,71
2021-12-17T00:00:00Z,450000,"1510 9th St UNIT 101, Tuscaloosa, AL 35401",3,4,1660,Condominium,2009,University,33.2081212444996,-87.557700288453,12
2021-12-15T00:00:00Z,153000,"600 13th St E APT 331, Tuscaloosa, AL 35401",2,2,875,Condominium,2006,University,33.2016832691155,-87.5274277731108,15
2021-12-13T00:00:00Z,185500,"600 13th St E APT 545, Tuscaloosa, AL 35401",3,3,1250,Condominium,2006,University,33.2014439376309,-87.5274332596175,15
2021-12-13T00:00:00Z,153000,"600 13th St E, Tuscaloosa, AL 35401",3,3,1175,Apartment,2006,University,33.2017817688428,-87.5278480731107,15
2021-12-10T00:00:00Z,305000,"700 15th St UNIT 2203, Tuscaloosa, AL 35401",3,3,1478,Condominium,2009,University,33.2006634944756,-87.5470281596176,12
2021-12-10T00:00:00Z,470000,"511 11th St APT 208, Tuscaloosa, AL 35401",2,2,1118,Condominium,2017,University,33.2047491835818,-87.5431385442751,4
2021-12-08T00:00:00Z,169900,"1901 5th Ave E UNIT 3323, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1936259696078,-87.5294737307821,14
2021-12-06T00:00:00Z,168000,"1901 5th Ave E UNIT 2319, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1936439259269,-87.5295769866041,14
2021-12-03T00:00:00Z,169000,"1901 5th Ave E UNIT 1320, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1936162696357,-87.5297982596177,14
2021-12-03T00:00:00Z,154900,"1901 5th Ave E UNIT 1319, Tuscaloosa, AL 35401",2,2,1276,Condominium,2007,Forest Lake,33.1935360879574,-87.5298089884533,14
2021-12-01T00:00:00Z,185000,"600 13th St E APT 621, Tuscaloosa, AL 35401",3,3,1250,Condominium,2006,University,33.2016693144347,-87.5273085731107,15
2021-11-30T00:00:00Z,265000,"708 11th St APT 307, Tuscaloosa, AL 35401",2,1,811,Condominium,1985,University,33.2053424899396,-87.5459472731107,36
2021-11-30T00:00:00Z,659900,"1150 8th St #603, Tuscaloosa, AL 35401",1,2,1183,Condominium,2020,University,33.2097979935926,-87.5523888172885,1
2021-11-25T00:00:00Z,137000,"1901 5th Ave E UNIT 2113, Tuscaloosa, AL 35401",2,2,1044,Condominium,2007,Forest Lake,33.193570566077,-87.5297889749601,14
2021-11-24T00:00:00Z,99900,"210 15th St E APT 23, Tuscaloosa, AL 35401",1,1,693,Condominium,1985,University,33.1992127431221,-87.533913430782,36
2021-11-23T00:00:00Z,103000,"1901 5th Ave E UNIT 2321, Tuscaloosa, AL 35401",1,1,733,Condominium,2007,Forest Lake,33.1935797351718,-87.529609173111,14
2021-11-23T00:00:00Z,475000,"1403 UniversityBlvd UNIT 4, Tuscaloosa, AL 35401",2,2,1105,Condominium,2010,University,33.2110779139169,-87.5553956019462,11
